Run,Assay Type,Library Name
SRR24836392,RNA-Seq,GSM7458095
SRR24836393,RNA-Seq,GSM7458096
SRR24836394,RNA-Seq,GSM7458097
SRR24836395,RNA-Seq,GSM7458103
SRR24836396,RNA-Seq,GSM7458102
SRR24836397,RNA-Seq,GSM7458101
SRR24836398,RNA-Seq,GSM7458100
SRR24836399,RNA-Seq,GSM7458099
SRR24836400,RNA-Seq,GSM7458137
SRR24836401,RNA-Seq,GSM7458147
SRR24836402,RNA-Seq,GSM7458148
SRR24836403,RNA-Seq,GSM7458149
SRR24836404,RNA-Seq,GSM7458150
SRR24836405,RNA-Seq,GSM7458151
SRR24836406,RNA-Seq,GSM7458152
SRR24836407,RNA-Seq,GSM7458153
SRR24836408,RNA-Seq,GSM7458154
